K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	0.586219	0.586219	0	0.4	0.4	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.348148	6	6	6	0	6	-0.0624684	-0.0624684	0	0.689539	0.689539	0	2.08889	2.08889	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.407407	6	6	6	0	6	0.631068	0.631068	0	1.05024	1.05024	0	2.44444	2.44444	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.340741	3	3	3	0	3	-0.129722	-0.129722	0	-0.83052	-0.83052	0	1.02222	1.02222	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	5	5	5	0	5	0.0234791	0.0234791	0	3.63567	3.63567	0	1.77778	1.77778	0	
4	0	4	0	10	0.8	0.0758947	0.8	0	0.377778	3	3	3	0	3	0.24725	0.24725	0	-0.615736	-0.615736	0	1.13333	1.13333	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.325926	9	9	9	0	9	-0.341395	-0.341395	0	-0.869882	-0.869882	0	2.93333	2.93333	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.333333	5	5	5	0	5	-0.228603	-0.228603	0	-1.02075	-1.02075	0	1.66667	1.66667	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.366667	4	4	4	0	4	0.143162	0.143162	0	-0.0767804	-0.0767804	0	1.46667	1.46667	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.388889	6	6	6	0	6	0.414338	0.414338	0	0.941774	0.941774	0	2.33333	2.33333	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.298413	7	7	7	0	7	-0.659907	-0.659907	0	2.09195	2.09195	0	2.08889	2.08889	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	3	3	3	0	3	-1.56222	-1.56222	0	1.22453	1.22453	0	0.6	0.6	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.468519	12	12	12	0	12	1.46985	1.46985	0	1.88181	1.88181	0	5.62222	5.62222	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.42963	3	3	3	0	3	0.775012	0.775012	0	0.984981	0.984981	0	1.28889	1.28889	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.333333	2	2	2	0	2	-0.183929	-0.183929	0	-0.27178	-0.27178	0	0.666667	0.666667	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.533333	4	4	4	0	4	1.95339	1.95339	0	2.14576	2.14576	0	2.13333	2.13333	0	
