K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
3	0	3	0	10	0.6	0.130537	0.6	0	0.416667	4	4	4	0	4	0.686229	0.686229	0	1.54644	1.54644	0	1.66667	1.66667	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.412698	7	7	7	0	7	0.709509	0.709509	0	0.235427	0.235427	0	2.88889	2.88889	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.281481	6	6	6	0	6	-0.842697	-0.842697	0	0.223331	0.223331	0	1.68889	1.68889	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.428571	7	7	7	0	7	0.899706	0.899706	0	3.09964	3.09964	0	3	3	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.262222	5	5	5	0	5	-1.03527	-1.03527	0	-1.58724	-1.58724	0	1.31111	1.31111	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.311111	3	3	3	0	3	-0.4313	-0.4313	0	-1.02041	-1.02041	0	0.933333	0.933333	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.4	4	4	4	0	4	0.505207	0.505207	0	1.45344	1.45344	0	1.6	1.6	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.362963	3	3	3	0	3	0.0964614	0.0964614	0	-0.698978	-0.698978	0	1.08889	1.08889	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.231111	5	5	5	0	5	-1.38818	-1.38818	0	-3.4118	-3.4118	0	1.15556	1.15556	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.486869	11	11	11	0	11	1.68964	1.68964	0	3.2098	3.2098	0	5.35556	5.35556	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.340741	3	3	3	0	3	-0.129722	-0.129722	0	-0.83052	-0.83052	0	1.02222	1.02222	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	5	5	5	0	5	2.04014	2.04014	0	4.95148	4.95148	0	2.66667	2.66667	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.355556	4	4	4	0	4	0.0224807	0.0224807	0	1.19353	1.19353	0	1.42222	1.42222	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.340741	3	3	3	0	3	-0.129722	-0.129722	0	-0.83052	-0.83052	0	1.02222	1.02222	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.238889	4	4	4	0	4	-1.24468	-1.24468	0	-0.971216	-0.971216	0	0.955556	0.955556	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.262963	12	12	12	0	12	-1.15667	-1.15667	0	-1.91013	-1.91013	0	3.15556	3.15556	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.44127	7	7	7	0	7	1.05186	1.05186	0	0.390084	0.390084	0	3.08889	3.08889	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.374815	15	15	15	0	15	0.277923	0.277923	0	0.666823	0.666823	0	5.62222	5.62222	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	-1.16394	-1.16394	0	0.4	0.4	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
