K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.525926	3	3	3	0	3	1.75514	1.75514	0	1.42194	1.42194	0	1.57778	1.57778	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	1.74414	1.74414	0	0.8	0.8	0	
4	0	4	0	10	0.8	0.0888444	0.8	0	0.414815	6	6	6	0	6	0.71776	0.71776	0	1.09267	1.09267	0	2.48889	2.48889	0	
4	0	4	0	10	0.8	0.0888444	0.8	0	0.4	4	4	4	0	4	0.505207	0.505207	0	0.107641	0.107641	0	1.6	1.6	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.364444	5	5	5	0	5	0.124312	0.124312	0	-0.815009	-0.815009	0	1.82222	1.82222	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.225926	6	6	6	0	6	-1.49289	-1.49289	0	-2.92289	-2.92289	0	1.35556	1.35556	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	3	3	3	0	3	-1.56222	-1.56222	0	1.22453	1.22453	0	0.6	0.6	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.316667	8	8	8	0	8	-0.449385	-0.449385	0	-1.22838	-1.22838	0	2.53333	2.53333	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.430556	8	8	8	0	8	0.940654	0.940654	0	-0.486781	-0.486781	0	3.44444	3.44444	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.511111	2	2	2	0	2	1.43863	1.43863	0	0.519781	0.519781	0	1.02222	1.02222	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.409877	9	9	9	0	9	0.698535	0.698535	0	2.09258	2.09258	0	3.68889	3.68889	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.474074	3	3	3	0	3	1.22738	1.22738	0	1.19353	1.19353	0	1.42222	1.42222	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.336111	8	8	8	0	8	-0.212061	-0.212061	0	1.27759	1.27759	0	2.68889	2.68889	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.433333	4	4	4	0	4	0.867251	0.867251	0	1.63731	1.63731	0	1.73333	1.73333	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.333333	2	2	2	0	2	-0.183929	-0.183929	0	-0.27178	-0.27178	0	0.666667	0.666667	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	2	2	2	0	2	0.120301	0.120301	0	-0.100592	-0.100592	0	0.733333	0.733333	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.52	5	5	5	0	5	1.88889	1.88889	0	1.19657	1.19657	0	2.6	2.6	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	2	2	2	0	2	0.120301	0.120301	0	-0.100592	-0.100592	0	0.733333	0.733333	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.335354	11	11	11	0	11	-0.229691	-0.229691	0	-0.325257	-0.325257	0	3.68889	3.68889	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.349206	7	7	7	0	7	-0.0512776	-0.0512776	0	1.05024	1.05024	0	2.44444	2.44444	0	
