K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	-1.16394	-1.16394	0	0.4	0.4	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	7	7	7	0	7	0.0248011	0.0248011	0	4.70719	4.70719	0	2.48889	2.48889	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.241667	8	8	8	0	8	-1.36478	-1.36478	0	0.517373	0.517373	0	1.93333	1.93333	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	6	6	6	0	6	-1.79631	-1.79631	0	2.6067	2.6067	0	1.2	1.2	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	4	0	10	0.8	0.0888444	0.8	0	0.355556	3	3	3	0	3	0.0210669	0.0210669	0	-0.741892	-0.741892	0	1.06667	1.06667	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.427778	8	8	8	0	8	0.90675	0.90675	0	0.629889	0.629889	0	3.42222	3.42222	0	
7	0	7	0	10	0.866667	0.107207	0.866667	0	0.244444	6	6	6	0	6	-1.27616	-1.27616	0	-4.35011	-4.35011	0	1.46667	1.46667	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.333333	5	5	5	0	5	-0.228603	-0.228603	0	-1.02075	-1.02075	0	1.66667	1.66667	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.253333	5	5	5	0	5	-1.1361	-1.1361	0	-1.67067	-1.67067	0	1.26667	1.26667	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.355556	3	3	3	0	3	0.0210669	0.0210669	0	0.602811	0.602811	0	1.06667	1.06667	0	
