K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.311111	9	9	9	0	9	-0.524912	-0.524912	0	-0.982556	-0.982556	0	2.8	2.8	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.412698	7	7	7	0	7	0.709509	0.709509	0	1.45377	1.45377	0	2.88889	2.88889	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.455556	2	2	2	0	2	0.931582	0.931582	0	0.299793	0.299793	0	0.911111	0.911111	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.377778	3	3	3	0	3	0.24725	0.24725	0	0.722822	0.722822	0	1.13333	1.13333	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.422222	6	6	6	0	6	0.804452	0.804452	0	1.1346	1.1346	0	2.53333	2.53333	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	3	3	3	0	3	0.0210669	0.0210669	0	2.33782	2.33782	0	1.06667	1.06667	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.462963	12	12	12	0	12	1.39886	1.39886	0	0.638306	0.638306	0	5.55556	5.55556	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.266667	5	5	5	0	5	-0.984849	-0.984849	0	-0.276923	-0.276923	0	1.33333	1.33333	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	5	5	5	0	5	-1.7411	-1.7411	0	0.477271	0.477271	0	1	1	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.408889	10	10	10	0	10	0.694709	0.694709	0	-0.0838703	-0.0838703	0	4.08889	4.08889	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.425	8	8	8	0	8	0.872847	0.872847	0	0.614515	0.614515	0	3.4	3.4	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.238889	4	4	4	0	4	-1.24468	-1.24468	0	-0.971216	-0.971216	0	0.955556	0.955556	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.477778	6	6	6	0	6	1.45464	1.45464	0	2.96274	2.96274	0	2.86667	2.86667	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.266667	5	5	5	0	5	-0.984849	-0.984849	0	-1.54678	-1.54678	0	1.33333	1.33333	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.231111	5	5	5	0	5	-1.38818	-1.38818	0	-1.89575	-1.89575	0	1.15556	1.15556	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.362963	3	3	3	0	3	0.0964614	0.0964614	0	-0.698978	-0.698978	0	1.08889	1.08889	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.251852	3	3	3	0	3	-1.03446	-1.03446	0	-0.0464656	-0.0464656	0	0.755556	0.755556	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.383333	4	4	4	0	4	0.324185	0.324185	0	1.35813	1.35813	0	1.53333	1.53333	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.355556	5	5	5	0	5	0.0234791	0.0234791	0	0.334025	0.334025	0	1.77778	1.77778	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.533333	5	5	5	0	5	2.04014	2.04014	0	2.75143	2.75143	0	2.66667	2.66667	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.307407	6	6	6	0	6	-0.539275	-0.539275	0	-0.787208	-0.787208	0	1.84444	1.84444	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.392593	6	6	6	0	6	0.457684	0.457684	0	-0.230334	-0.230334	0	2.35556	2.35556	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	11	11	11	0	11	1.43373	1.43373	0	7.72957	7.72957	0	5.13333	5.13333	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.422222	3	3	3	0	3	0.699617	0.699617	0	0.948883	0.948883	0	1.26667	1.26667	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.337778	10	10	10	0	10	-0.196965	-0.196965	0	-1.72602	-1.72602	0	3.37778	3.37778	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.35	8	8	8	0	8	-0.0425445	-0.0425445	0	1.37646	1.37646	0	2.8	2.8	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	-1.1758	-1.1758	0	0.866667	0.866667	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.266667	8	8	8	0	8	-1.05965	-1.05965	0	2.14576	2.14576	0	2.13333	2.13333	0	
3	0	3	0	10	0.733333	0.0764199	0.733333	0	0.466667	2	2	2	0	2	1.03299	1.03299	0	0.345355	0.345355	0	0.933333	0.933333	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.392593	6	6	6	0	6	0.457684	0.457684	0	-0.230334	-0.230334	0	2.35556	2.35556	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.51358	9	9	9	0	9	1.98315	1.98315	0	4.57309	4.57309	0	4.62222	4.62222	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.327778	8	8	8	0	8	-0.313772	-0.313772	0	-1.14311	-1.14311	0	2.62222	2.62222	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.322222	4	4	4	0	4	-0.339564	-0.339564	0	-1.62852	-1.62852	0	1.28889	1.28889	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.35873	7	7	7	0	7	0.0628404	0.0628404	0	1.1137	1.1137	0	2.51111	2.51111	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.351111	10	10	10	0	10	-0.0297761	-0.0297761	0	-0.44153	-0.44153	0	3.51111	3.51111	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.377778	3	3	3	0	3	0.24725	0.24725	0	0.722822	0.722822	0	1.13333	1.13333	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	1	1	1	0	1	0.014992	0.014992	0	0.4167	0.4167	0	0.355556	0.355556	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	4	4	4	0	4	0.0224807	0.0224807	0	3.02501	3.02501	0	1.42222	1.42222	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.419444	8	8	8	0	8	0.80504	0.80504	0	0.583521	0.583521	0	3.35556	3.35556	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.32963	6	6	6	0	6	-0.279198	-0.279198	0	-1.86209	-1.86209	0	1.97778	1.97778	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.437037	9	9	9	0	9	1.03498	1.03498	0	3.98495	3.98495	0	3.93333	3.93333	0	
