K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.255556	6	6	6	0	6	-1.14612	-1.14612	0	1.35813	1.35813	0	1.53333	1.53333	0	
2	0	2	0	10	0.555556	0.0745356	0.555556	0	0.555556	1	1	1	0	1	1.46364	1.46364	0	1.09586	1.09586	0	0.555556	0.555556	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.318519	3	3	3	0	3	-0.355906	-0.355906	0	0.390095	0.390095	0	0.955556	0.955556	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.425397	14	14	14	0	14	0.93172	0.93172	0	2.04067	2.04067	0	5.95556	5.95556	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	2	2	2	0	2	0.0188908	0.0188908	0	1.52347	1.52347	0	0.711111	0.711111	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.302222	5	5	5	0	5	-0.581518	-0.581518	0	-0.013722	-0.013722	0	1.51111	1.51111	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	0.586219	0.586219	0	0.4	0.4	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.268687	11	11	11	0	11	-1.0742	-1.0742	0	-0.851686	-0.851686	0	2.95556	2.95556	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	1	1	1	0	1	0.014992	0.014992	0	0.4167	0.4167	0	0.355556	0.355556	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.390476	7	7	7	0	7	0.443234	0.443234	0	2.8227	2.8227	0	2.73333	2.73333	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	8	8	8	0	8	0.0252623	0.0252623	0	5.18801	5.18801	0	2.84444	2.84444	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.355556	2	2	2	0	2	0.0188908	0.0188908	0	-0.156119	-0.156119	0	0.711111	0.711111	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	2	2	2	0	2	1.03299	1.03299	0	2.05186	2.05186	0	0.933333	0.933333	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.466667	4	4	4	0	4	1.2293	1.2293	0	1.81329	1.81329	0	1.86667	1.86667	0	
3	0	3	0	10	0.733333	0.0764199	0.733333	0	0.493333	5	5	5	0	5	1.58639	1.58639	0	2.53215	2.53215	0	2.46667	2.46667	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	2	2	2	0	2	1.03299	1.03299	0	2.05186	2.05186	0	0.933333	0.933333	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.284444	5	5	5	0	5	-0.783184	-0.783184	0	-1.39262	-1.39262	0	1.42222	1.42222	0	
4	0	4	0	10	0.822222	0.0716163	0.822222	0	0.455556	4	4	4	0	4	1.10861	1.10861	0	0.387679	0.387679	0	1.82222	1.82222	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.422222	3	3	3	0	3	0.699617	0.699617	0	0.948883	0.948883	0	1.26667	1.26667	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.4	8	8	8	0	8	0.567716	0.567716	0	1.71332	1.71332	0	3.2	3.2	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	3	3	3	0	3	0.0210669	0.0210669	0	2.33782	2.33782	0	1.06667	1.06667	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	1.74414	1.74414	0	0.8	0.8	0	
