K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.253333	5	5	5	0	5	-1.1361	-1.1361	0	-3.12749	-3.12749	0	1.26667	1.26667	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	1	1	1	0	1	0.819796	0.819796	0	0.818008	0.818008	0	0.466667	0.466667	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.315556	5	5	5	0	5	-0.430269	-0.430269	0	-2.48114	-2.48114	0	1.57778	1.57778	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.355556	5	5	5	0	5	0.0234791	0.0234791	0	1.69679	1.69679	0	1.77778	1.77778	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.391111	10	10	10	0	10	0.47179	0.47179	0	-0.187994	-0.187994	0	3.91111	3.91111	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.444444	7	7	7	0	7	1.0899	1.0899	0	0.406729	0.406729	0	3.11111	3.11111	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.444444	2	2	2	0	2	0.830172	0.830172	0	0.253363	0.253363	0	0.888889	0.888889	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.292063	7	7	7	0	7	-0.735986	-0.735986	0	-0.552137	-0.552137	0	2.04444	2.04444	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.487302	14	14	14	0	14	1.73379	1.73379	0	2.42972	2.42972	0	6.82222	6.82222	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	2	2	2	0	2	1.64145	1.64145	0	2.33782	2.33782	0	1.06667	1.06667	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.298413	7	7	7	0	7	-0.659907	-0.659907	0	2.09195	2.09195	0	2.08889	2.08889	0	
3	0	3	0	10	0.733333	0.0764199	0.733333	0	0.466667	5	5	5	0	5	1.28389	1.28389	0	2.38099	2.38099	0	2.33333	2.33333	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.316667	4	4	4	0	4	-0.399905	-0.399905	0	-0.384079	-0.384079	0	1.26667	1.26667	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.44127	7	7	7	0	7	1.05186	1.05186	0	0.390084	0.390084	0	3.08889	3.08889	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.34321	9	9	9	0	9	-0.127291	-0.127291	0	-1.96882	-1.96882	0	3.08889	3.08889	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.266667	8	8	8	0	8	-1.05965	-1.05965	0	-3.06556	-3.06556	0	2.13333	2.13333	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.305556	4	4	4	0	4	-0.520586	-0.520586	0	-1.75772	-1.75772	0	1.22222	1.22222	0	
6	0	6	0	10	0.911111	0.0620394	0.911111	0	0.352381	7	7	7	0	7	-0.0132383	-0.0132383	0	-1.29478	-1.29478	0	2.46667	2.46667	0	
6	0	6	0	10	0.866667	0.0850098	0.866667	0	0.426263	11	11	11	0	11	0.921906	0.921906	0	0.237005	0.237005	0	4.68889	4.68889	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.469444	8	8	8	0	8	1.4153	1.4153	0	2.14202	2.14202	0	3.75556	3.75556	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.355556	5	5	5	0	5	0.0234791	0.0234791	0	1.69679	1.69679	0	1.77778	1.77778	0	
6	0	6	0	10	0.911111	0.0620394	0.911111	0	0.359259	6	6	6	0	6	0.0675697	0.0675697	0	-1.63705	-1.63705	0	2.15556	2.15556	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.462963	6	6	6	0	6	1.28126	1.28126	0	1.35689	1.35689	0	2.77778	2.77778	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.316667	4	4	4	0	4	-0.399905	-0.399905	0	0.948883	0.948883	0	1.26667	1.26667	0	
6	0	6	0	10	0.866667	0.0850098	0.866667	0	0.404444	5	5	5	0	5	0.57806	0.57806	0	-1.80346	-1.80346	0	2.02222	2.02222	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.284444	5	5	5	0	5	-0.783184	-0.783184	0	-1.39262	-1.39262	0	1.42222	1.42222	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.416667	4	4	4	0	4	0.686229	0.686229	0	0.194901	0.194901	0	1.66667	1.66667	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	9	9	9	0	9	-1.90129	-1.90129	0	1.72621	1.72621	0	1.8	1.8	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.251852	6	6	6	0	6	-1.18946	-1.18946	0	-1.24939	-1.24939	0	1.51111	1.51111	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.4	5	5	5	0	5	0.527643	0.527643	0	1.98249	1.98249	0	2	2	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.422222	3	3	3	0	3	0.699617	0.699617	0	0.948883	0.948883	0	1.26667	1.26667	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.407407	3	3	3	0	3	0.548828	0.548828	0	-0.458546	-0.458546	0	1.22222	1.22222	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.325	8	8	8	0	8	-0.347675	-0.347675	0	-0.00576845	-0.00576845	0	2.6	2.6	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.311111	3	3	3	0	3	-0.4313	-0.4313	0	-1.02041	-1.02041	0	0.933333	0.933333	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.232323	11	11	11	0	11	-1.53483	-1.53483	0	-0.0450542	-0.0450542	0	2.55556	2.55556	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.37037	6	6	6	0	6	0.197608	0.197608	0	-0.36263	-0.36263	0	2.22222	2.22222	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.233333	8	8	8	0	8	-1.46649	-1.46649	0	0.44029	0.44029	0	1.86667	1.86667	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.284848	11	11	11	0	11	-0.869467	-0.869467	0	-1.92951	-1.92951	0	3.13333	3.13333	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.311111	7	7	7	0	7	-0.50775	-0.50775	0	0.783627	0.783627	0	2.17778	2.17778	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	3	3	3	0	3	-1.56222	-1.56222	0	-0.458608	-0.458608	0	0.6	0.6	0	
2	0	2	0	10	0.555556	0.0745356	0.555556	0	0.555556	4	4	4	0	4	2.19475	2.19475	0	4.32458	4.32458	0	2.22222	2.22222	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.377778	2	2	2	0	2	0.221711	0.221711	0	-0.0464656	-0.0464656	0	0.755556	0.755556	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.444444	5	5	5	0	5	1.03181	1.03181	0	2.25165	2.25165	0	2.22222	2.22222	0	
