K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
3	0	3	0	10	0.6	0.130537	0.6	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	0.206017	0.206017	0	0.866667	0.866667	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	2	2	2	0	2	0.120301	0.120301	0	-0.100592	-0.100592	0	0.733333	0.733333	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.360494	9	9	9	0	9	0.0868117	0.0868117	0	0.504539	0.504539	0	3.24444	3.24444	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.228283	11	11	11	0	11	-1.58602	-1.58602	0	1.1137	1.1137	0	2.51111	2.51111	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.459259	6	6	6	0	6	1.23791	1.23791	0	1.33722	1.33722	0	2.75556	2.75556	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.296296	6	6	6	0	6	-0.669313	-0.669313	0	-2.14876	-2.14876	0	1.77778	1.77778	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.277778	6	6	6	0	6	-0.886043	-0.886043	0	1.54644	1.54644	0	1.66667	1.66667	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.340741	3	3	3	0	3	-0.129722	-0.129722	0	-0.83052	-0.83052	0	1.02222	1.02222	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.392593	6	6	6	0	6	0.457684	0.457684	0	-0.230334	-0.230334	0	2.35556	2.35556	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.476023	19	19	19	0	19	1.62424	1.62424	0	1.86221	1.86221	0	9.04444	9.04444	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.333333	6	6	6	0	6	-0.235852	-0.235852	0	-0.602192	-0.602192	0	2	2	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.403175	7	7	7	0	7	0.595391	0.595391	0	1.39593	1.39593	0	2.82222	2.82222	0	
6	0	6	0	10	0.777778	0.137437	0.777778	0	0.314286	7	7	7	0	7	-0.46971	-0.46971	0	-1.58448	-1.58448	0	2.2	2.2	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.291358	9	9	9	0	9	-0.769601	-0.769601	0	-1.14311	-1.14311	0	2.62222	2.62222	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.35873	21	21	21	0	21	0.0699507	0.0699507	0	0.219354	0.219354	0	7.53333	7.53333	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.411111	2	2	2	0	2	0.525941	0.525941	0	0.108362	0.108362	0	0.822222	0.822222	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.294444	8	8	8	0	8	-0.720612	-0.720612	0	-2.75623	-2.75623	0	2.35556	2.35556	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.362963	3	3	3	0	3	0.0964614	0.0964614	0	-0.698978	-0.698978	0	1.08889	1.08889	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.264815	12	12	12	0	12	-1.13301	-1.13301	0	3.27764	3.27764	0	3.17778	3.17778	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.246914	9	9	9	0	9	-1.32015	-1.32015	0	0.829618	0.829618	0	2.22222	2.22222	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.305556	8	8	8	0	8	-0.584999	-0.584999	0	-1.3174	-1.3174	0	2.44444	2.44444	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.225926	12	12	12	0	12	-1.62991	-1.62991	0	1.29757	1.29757	0	2.71111	2.71111	0	
6	0	6	0	10	0.911111	0.0620394	0.911111	0	0.348148	12	12	12	0	12	-0.0682021	-0.0682021	0	-0.0335176	-0.0335176	0	4.17778	4.17778	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	2	2	2	0	2	0.120301	0.120301	0	-0.100592	-0.100592	0	0.733333	0.733333	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.377778	3	3	3	0	3	0.24725	0.24725	0	0.722822	0.722822	0	1.13333	1.13333	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	-2.8472	-2.8472	0	0.8	0.8	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.37037	3	3	3	0	3	0.171856	0.171856	0	-0.65694	-0.65694	0	1.11111	1.11111	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.324444	5	5	5	0	5	-0.329436	-0.329436	0	1.48469	1.48469	0	1.62222	1.62222	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.283333	4	4	4	0	4	-0.761949	-0.761949	0	-0.615736	-0.615736	0	1.13333	1.13333	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.405556	4	4	4	0	4	0.565548	0.565548	0	0.137067	0.137067	0	1.62222	1.62222	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.366667	2	2	2	0	2	0.120301	0.120301	0	-0.100592	-0.100592	0	0.733333	0.733333	0	
