K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.314815	6	6	6	0	6	-0.452582	-0.452582	0	0.466222	0.466222	0	1.88889	1.88889	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.249206	14	14	14	0	14	-1.3511	-1.3511	0	3.57788	3.57788	0	3.48889	3.48889	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.412698	7	7	7	0	7	0.709509	0.709509	0	2.98577	2.98577	0	2.88889	2.88889	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.364444	5	5	5	0	5	0.124312	0.124312	0	-0.815009	-0.815009	0	1.82222	1.82222	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.419048	14	14	14	0	14	0.849456	0.849456	0	5.52996	5.52996	0	5.86667	5.86667	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.457778	5	5	5	0	5	1.18306	1.18306	0	0.897377	0.897377	0	2.28889	2.28889	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.251852	3	3	3	0	3	-1.03446	-1.03446	0	-1.46598	-1.46598	0	0.755556	0.755556	0	
3	0	3	0	10	0.733333	0.0764199	0.733333	0	0.466667	2	2	2	0	2	1.03299	1.03299	0	0.345355	0.345355	0	0.933333	0.933333	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.215556	10	10	10	0	10	-1.72953	-1.72953	0	0.760374	0.760374	0	2.15556	2.15556	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	1	1	1	0	1	0.014992	0.014992	0	0.4167	0.4167	0	0.355556	0.355556	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.372222	4	4	4	0	4	0.203503	0.203503	0	-0.0450416	-0.0450416	0	1.48889	1.48889	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.319444	8	8	8	0	8	-0.415482	-0.415482	0	-0.0450542	-0.0450542	0	2.55556	2.55556	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	12	12	12	0	12	-1.96119	-1.96119	0	4.58191	4.58191	0	2.4	2.4	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.366667	4	4	4	0	4	0.143162	0.143162	0	-0.0767804	-0.0767804	0	1.46667	1.46667	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.411111	2	2	2	0	2	0.525941	0.525941	0	0.108362	0.108362	0	0.822222	0.822222	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.34	10	10	10	0	10	-0.1691	-0.1691	0	-1.70851	-1.70851	0	3.4	3.4	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.412698	7	7	7	0	7	0.709509	0.709509	0	-0.906761	-0.906761	0	2.88889	2.88889	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.44	10	10	10	0	10	1.08482	1.08482	0	0.0878456	0.0878456	0	4.4	4.4	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.390123	9	9	9	0	9	0.453846	0.453846	0	-0.44153	-0.44153	0	3.51111	3.51111	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	-1.1758	-1.1758	0	0.866667	0.866667	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	0.206017	0.206017	0	0.866667	0.866667	0	
