K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.325926	6	6	6	0	6	-0.322544	-0.322544	0	-0.653436	-0.653436	0	1.95556	1.95556	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	3	3	3	0	3	1.15198	1.15198	0	2.98462	2.98462	0	1.4	1.4	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.303704	3	3	3	0	3	-0.506695	-0.506695	0	-1.07085	-1.07085	0	0.911111	0.911111	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.228283	11	11	11	0	11	-1.58602	-1.58602	0	1.1137	1.1137	0	2.51111	2.51111	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.540741	3	3	3	0	3	1.90593	1.90593	0	1.48469	1.48469	0	1.62222	1.62222	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.425397	7	7	7	0	7	0.861666	0.861666	0	0.305279	0.305279	0	2.97778	2.97778	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.244444	6	6	6	0	6	-1.27616	-1.27616	0	-0.0767804	-0.0767804	0	1.46667	1.46667	0	
3	0	3	0	10	0.622222	0.138307	0.622222	0	0.355556	5	5	5	0	5	0.0234791	0.0234791	0	1.69679	1.69679	0	1.77778	1.77778	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.466667	4	4	4	0	4	1.2293	1.2293	0	1.81329	1.81329	0	1.86667	1.86667	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.448148	6	6	6	0	6	1.10787	1.10787	0	2.77528	2.77528	0	2.68889	2.68889	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.32963	24	24	24	0	24	-0.320602	-0.320602	0	-0.837181	-0.837181	0	7.91111	7.91111	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.437037	9	9	9	0	9	1.03498	1.03498	0	0.963511	0.963511	0	3.93333	3.93333	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.322222	4	4	4	0	4	-0.339564	-0.339564	0	-1.62852	-1.62852	0	1.28889	1.28889	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.455556	2	2	2	0	2	0.931582	0.931582	0	0.299793	0.299793	0	0.911111	0.911111	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.311111	7	7	7	0	7	-0.50775	-0.50775	0	0.783627	0.783627	0	2.17778	2.17778	0	
3	0	3	0	10	0.711111	0.0859974	0.711111	0	0.474074	6	6	6	0	6	1.4113	1.4113	0	2.93963	2.93963	0	2.84444	2.84444	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	5	5	5	0	5	2.04014	2.04014	0	4.95148	4.95148	0	2.66667	2.66667	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.337037	6	6	6	0	6	-0.192506	-0.192506	0	-1.80346	-1.80346	0	2.02222	2.02222	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.411111	2	2	2	0	2	0.525941	0.525941	0	0.108362	0.108362	0	0.822222	0.822222	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.391111	5	5	5	0	5	0.426811	0.426811	0	-0.653436	-0.653436	0	1.95556	1.95556	0	
7	0	7	0	10	0.933333	0.0619677	0.933333	0	0.303704	9	9	9	0	9	-0.61667	-0.61667	0	-2.31399	-2.31399	0	2.73333	2.73333	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.252778	8	8	8	0	8	-1.22916	-1.22916	0	-1.80346	-1.80346	0	2.02222	2.02222	0	
4	0	4	0	10	0.822222	0.0716163	0.822222	0	0.455556	10	10	10	0	10	1.27987	1.27987	0	2.7012	2.7012	0	4.55556	4.55556	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.305556	8	8	8	0	8	-0.584999	-0.584999	0	2.50725	2.50725	0	2.44444	2.44444	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.222222	7	7	7	0	7	-1.57285	-1.57285	0	0.0477161	0.0477161	0	1.55556	1.55556	0	
4	0	4	0	10	0.8	0.0888444	0.8	0	0.466667	8	8	8	0	8	1.3814	1.3814	0	2.1256	2.1256	0	3.73333	3.73333	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.422222	4	4	4	0	4	0.74657	0.74657	0	0.223331	0.223331	0	1.68889	1.68889	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.391111	5	5	5	0	5	0.426811	0.426811	0	-0.653436	-0.653436	0	1.95556	1.95556	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.333333	2	2	2	0	2	-0.183929	-0.183929	0	-0.27178	-0.27178	0	0.666667	0.666667	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.352381	7	7	7	0	7	-0.0132383	-0.0132383	0	-0.125609	-0.125609	0	2.46667	2.46667	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.241667	8	8	8	0	8	-1.36478	-1.36478	0	0.517373	0.517373	0	1.93333	1.93333	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.333333	6	6	6	0	6	-0.235852	-0.235852	0	-1.83256	-1.83256	0	2	2	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.327778	8	8	8	0	8	-0.313772	-0.313772	0	1.21699	1.21699	0	2.62222	2.62222	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.247619	7	7	7	0	7	-1.26854	-1.26854	0	1.63731	1.63731	0	1.73333	1.73333	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.311111	10	10	10	0	10	-0.531343	-0.531343	0	-5.37735	-5.37735	0	3.11111	3.11111	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.342222	5	5	5	0	5	-0.12777	-0.12777	0	-0.959855	-0.959855	0	1.71111	1.71111	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.486111	8	8	8	0	8	1.61872	1.61872	0	2.23945	2.23945	0	3.88889	3.88889	0	
3	0	3	0	10	0.733333	0.0764199	0.733333	0	0.5	2	2	2	0	2	1.33722	1.33722	0	0.477271	0.477271	0	1	1	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.349206	14	14	14	0	14	-0.0554465	-0.0554465	0	0.335258	0.335258	0	4.88889	4.88889	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	0.0579335	0.0579335	0	0.8	0.8	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.352137	13	13	13	0	13	-0.0173659	-0.0173659	0	2.71594	2.71594	0	4.57778	4.57778	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.325926	6	6	6	0	6	-0.322544	-0.322544	0	-0.653436	-0.653436	0	1.95556	1.95556	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.338272	9	9	9	0	9	-0.188464	-0.188464	0	1.58557	1.58557	0	3.04444	3.04444	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	12	12	12	0	12	1.44618	1.44618	0	8.16328	8.16328	0	5.6	5.6	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.311111	6	6	6	0	6	-0.495928	-0.495928	0	-0.759769	-0.759769	0	1.86667	1.86667	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.362963	3	3	3	0	3	0.0964614	0.0964614	0	-0.698978	-0.698978	0	1.08889	1.08889	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.258333	16	16	16	0	16	-1.2461	-1.2461	0	1.08511	1.08511	0	4.13333	4.13333	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	5	5	5	0	5	1.28389	1.28389	0	4.4865	4.4865	0	2.33333	2.33333	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.284444	5	5	5	0	5	-0.783184	-0.783184	0	-0.141577	-0.141577	0	1.42222	1.42222	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.377778	3	3	3	0	3	0.24725	0.24725	0	0.722822	0.722822	0	1.13333	1.13333	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.249206	14	14	14	0	14	-1.3511	-1.3511	0	1.94116	1.94116	0	3.48889	3.48889	0	
4	0	4	0	10	0.8	0.0758947	0.8	0	0.333333	4	4	4	0	4	-0.218882	-0.218882	0	-0.276923	-0.276923	0	1.33333	1.33333	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	0.0579335	0.0579335	0	0.8	0.8	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.351852	6	6	6	0	6	-0.0191223	-0.0191223	0	0.713335	0.713335	0	2.11111	2.11111	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	3	3	3	0	3	1.83053	1.83053	0	3.33815	3.33815	0	1.6	1.6	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.431111	5	5	5	0	5	0.880558	0.880558	0	0.760374	0.760374	0	2.15556	2.15556	0	
7	0	7	0	10	0.866667	0.107207	0.866667	0	0.401709	13	13	13	0	13	0.620786	0.620786	0	-0.632991	-0.632991	0	5.22222	5.22222	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	-1.16394	-1.16394	0	0.4	0.4	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	3	3	3	0	3	0.0210669	0.0210669	0	2.33782	2.33782	0	1.06667	1.06667	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	6	6	6	0	6	-1.79631	-1.79631	0	-0.496767	-0.496767	0	1.2	1.2	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.238889	4	4	4	0	4	-1.24468	-1.24468	0	0.390095	0.390095	0	0.955556	0.955556	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.374603	7	7	7	0	7	0.253037	0.253037	0	1.21699	1.21699	0	2.62222	2.62222	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.266667	5	5	5	0	5	-0.984849	-0.984849	0	-0.276923	-0.276923	0	1.33333	1.33333	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.339683	7	7	7	0	7	-0.165396	-0.165396	0	-1.38682	-1.38682	0	2.37778	2.37778	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	6	6	6	0	6	-1.79631	-1.79631	0	0.83799	0.83799	0	1.2	1.2	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.253333	5	5	5	0	5	-1.1361	-1.1361	0	0.948883	0.948883	0	1.26667	1.26667	0	
4	0	4	0	10	0.733333	0.100532	0.733333	0	0.503175	14	14	14	0	14	1.93945	1.93945	0	4.16426	4.16426	0	7.04444	7.04444	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.251852	3	3	3	0	3	-1.03446	-1.03446	0	-1.46598	-1.46598	0	0.755556	0.755556	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.293333	5	5	5	0	5	-0.682351	-0.682351	0	-0.0767804	-0.0767804	0	1.46667	1.46667	0	
9	0	9	0	10	0.977778	0.0539959	0.977778	0	0.439614	23	23	23	0	23	1.15481	1.15481	0	-1.60195	-1.60195	0	10.1111	10.1111	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.311111	7	7	7	0	7	-0.50775	-0.50775	0	-0.408508	-0.408508	0	2.17778	2.17778	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.355556	6	6	6	0	6	0.0242237	0.0242237	0	-0.455351	-0.455351	0	2.13333	2.13333	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.322222	14	14	14	0	14	-0.405068	-0.405068	0	0.146296	0.146296	0	4.51111	4.51111	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.322222	12	12	12	0	12	-0.399474	-0.399474	0	2.22334	2.22334	0	3.86667	3.86667	0	
8	0	8	0	10	0.955556	0.0594045	0.955556	0	0.338462	26	26	26	0	26	-0.20274	-0.20274	0	-0.593204	-0.593204	0	8.8	8.8	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.505556	4	4	4	0	4	1.65168	1.65168	0	2.01009	2.01009	0	2.02222	2.02222	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.352381	7	7	7	0	7	-0.0132383	-0.0132383	0	2.53215	2.53215	0	2.46667	2.46667	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.311111	9	9	9	0	9	-0.524912	-0.524912	0	-0.982556	-0.982556	0	2.8	2.8	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	1	1	1	0	1	1.30268	1.30268	0	1.02917	1.02917	0	0.533333	0.533333	0	
