K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	D_1	mean_D	sd_D	FS_1	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	2	2	2	0	2	0.0188908	0.0188908	0	1.52347	1.52347	0	0.711111	0.711111	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	1	1	1	0	1	1.30268	1.30268	0	1.02917	1.02917	0	0.533333	0.533333	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.266667	4	4	4	0	4	-0.942971	-0.942971	0	-2.09575	-2.09575	0	1.06667	1.06667	0	
4	0	4	0	10	0.822222	0.0716163	0.822222	0	0.449383	9	9	9	0	9	1.18791	1.18791	0	2.35082	2.35082	0	4.04444	4.04444	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.396825	7	7	7	0	7	0.519312	0.519312	0	0.145374	0.145374	0	2.77778	2.77778	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.448889	5	5	5	0	5	1.08222	1.08222	0	0.852364	0.852364	0	2.24444	2.24444	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.303704	15	15	15	0	15	-0.648674	-0.648674	0	0.169289	0.169289	0	4.55556	4.55556	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.323232	11	11	11	0	11	-0.383237	-0.383237	0	-0.411879	-0.411879	0	3.55556	3.55556	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.431111	5	5	5	0	5	0.880558	0.880558	0	0.760374	0.760374	0	2.15556	2.15556	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.373333	5	5	5	0	5	0.225145	0.225145	0	-0.759769	-0.759769	0	1.86667	1.86667	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.292063	7	7	7	0	7	-0.735986	-0.735986	0	0.641374	0.641374	0	2.04444	2.04444	0	
2	0	2	0	10	0.466667	0.131757	0.466667	0	0.466667	1	1	1	0	1	0.819796	0.819796	0	0.818008	0.818008	0	0.466667	0.466667	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	3	3	3	0	3	-1.56222	-1.56222	0	-0.458608	-0.458608	0	0.6	0.6	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.324444	5	5	5	0	5	-0.329436	-0.329436	0	0.137067	0.137067	0	1.62222	1.62222	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.377778	4	4	4	0	4	0.263844	0.263844	0	-0.013722	-0.013722	0	1.51111	1.51111	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.345679	9	9	9	0	9	-0.0967053	-0.0967053	0	-0.728588	-0.728588	0	3.11111	3.11111	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	-1.11173	-1.11173	0	-0.339314	-0.339314	0	0.2	0.2	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	0.206017	0.206017	0	0.866667	0.866667	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.327778	4	4	4	0	4	-0.279223	-0.279223	0	-1.58724	-1.58724	0	1.31111	1.31111	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.363889	8	8	8	0	8	0.126972	0.126972	0	1.47286	1.47286	0	2.91111	2.91111	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.416667	4	4	4	0	4	0.686229	0.686229	0	1.54644	1.54644	0	1.66667	1.66667	0	
6	0	6	0	10	0.911111	0.0620394	0.911111	0	0.363889	8	8	8	0	8	0.126972	0.126972	0	-0.888239	-0.888239	0	2.91111	2.91111	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.303704	6	6	6	0	6	-0.582621	-0.582621	0	0.387679	0.387679	0	1.82222	1.82222	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.45	4	4	4	0	4	1.04827	1.04827	0	1.72621	1.72621	0	1.8	1.8	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.411111	4	4	4	0	4	0.625888	0.625888	0	0.16615	0.16615	0	1.64444	1.64444	0	
4	0	4	0	10	0.8	0.0758947	0.8	0	0.47619	7	7	7	0	7	1.4703	1.4703	0	1.81991	1.81991	0	3.33333	3.33333	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	-1.16394	-1.16394	0	0.4	0.4	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.333333	14	14	14	0	14	-0.261106	-0.261106	0	4.60946	4.60946	0	4.66667	4.66667	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.411111	6	6	6	0	6	0.674414	0.674414	0	-0.125609	-0.125609	0	2.46667	2.46667	0	
4	0	4	0	10	0.822222	0.0716163	0.822222	0	0.483333	4	4	4	0	4	1.41032	1.41032	0	0.517373	0.517373	0	1.93333	1.93333	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.36	5	5	5	0	5	0.0738955	0.0738955	0	0.360986	0.360986	0	1.8	1.8	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.283333	4	4	4	0	4	-0.761949	-0.761949	0	0.722822	0.722822	0	1.13333	1.13333	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.27037	6	6	6	0	6	-0.972735	-0.972735	0	-2.40264	-2.40264	0	1.62222	1.62222	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	-0.69098	-0.69098	0	-0.593814	-0.593814	0	0.555556	0.555556	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.253333	10	10	10	0	10	-1.25583	-1.25583	0	2.60619	2.60619	0	2.53333	2.53333	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	-1.1758	-1.1758	0	0.866667	0.866667	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.403704	6	6	6	0	6	0.587722	0.587722	0	1.02882	1.02882	0	2.42222	2.42222	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.522222	8	8	8	0	8	2.05947	2.05947	0	2.44443	2.44443	0	4.17778	4.17778	0	
6	0	6	0	10	0.888889	0.0754247	0.888889	0	0.454701	13	13	13	0	13	1.30295	1.30295	0	0.787165	0.787165	0	5.91111	5.91111	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	6	6	6	0	6	0.0242237	0.0242237	0	4.1923	4.1923	0	2.13333	2.13333	0	
3	0	3	0	10	0.6	0.130537	0.6	0	0.366667	2	2	2	0	2	0.120301	0.120301	0	-0.100592	-0.100592	0	0.733333	0.733333	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.260317	7	7	7	0	7	-1.11638	-1.11638	0	0.387679	0.387679	0	1.82222	1.82222	0	
4	0	4	0	10	0.8	0.0888444	0.8	0	0.462222	5	5	5	0	5	1.23347	1.23347	0	0.919651	0.919651	0	2.31111	2.31111	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	2	2	2	0	2	-1.40085	-1.40085	0	0.586219	0.586219	0	0.4	0.4	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.404444	5	5	5	0	5	0.57806	0.57806	0	-0.57702	-0.57702	0	2.02222	2.02222	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	4	0	10	0.777778	0.0906765	0.777778	0	0.411111	6	6	6	0	6	0.674414	0.674414	0	1.07152	1.07152	0	2.46667	2.46667	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	-1.34464	-1.34464	0	0.8	0.8	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.32	5	5	5	0	5	-0.379852	-0.379852	0	-1.11562	-1.11562	0	1.6	1.6	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.288889	3	3	3	0	3	-0.657484	-0.657484	0	-1.1758	-1.1758	0	0.866667	0.866667	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.438889	4	4	4	0	4	0.927592	0.927592	0	1.66715	1.66715	0	1.75556	1.75556	0	
3	0	3	0	10	0.688889	0.103837	0.688889	0	0.392593	3	3	3	0	3	0.398039	0.398039	0	0.800101	0.800101	0	1.17778	1.17778	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	4	4	4	0	4	-1.66706	-1.66706	0	-1.34464	-1.34464	0	0.8	0.8	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.303704	6	6	6	0	6	-0.582621	-0.582621	0	0.387679	0.387679	0	1.82222	1.82222	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.251852	3	3	3	0	3	-1.03446	-1.03446	0	-1.46598	-1.46598	0	0.755556	0.755556	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	5	5	5	0	5	-1.7411	-1.7411	0	0.477271	0.477271	0	1	1	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.2	5	5	5	0	5	-1.7411	-1.7411	0	0.477271	0.477271	0	1	1	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.407407	3	3	3	0	3	0.548828	0.548828	0	-0.458546	-0.458546	0	1.22222	1.22222	0	
