K_1	Ksd_1	mean_K	sd_K	tot_K	H_1	Hsd_1	mean_H	sd_H	tot_H	S_1	prS_1	mean_S	sd_S	tot_S	mean_D	sd_D	mean_FS	sd_FS	Pi_1	mean_Pi	sd_Pi	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	5	5	5	0	5	0	0	0	0	1	1	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	0	0	0	0	0.2	0.2	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.341667	8	8	8	0	8	0	0	0	0	2.73333	2.73333	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.303704	3	3	3	0	3	0	0	0	0	0.911111	0.911111	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.422222	6	6	6	0	6	0	0	0	0	2.53333	2.53333	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.373333	5	5	5	0	5	0	0	0	0	1.86667	1.86667	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.277778	2	2	2	0	2	0	0	0	0	0.555556	0.555556	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.422222	3	3	3	0	3	0	0	0	0	1.26667	1.26667	0	
3	0	3	0	10	0.511111	0.164303	0.511111	0	0.277778	2	2	2	0	2	0	0	0	0	0.555556	0.555556	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	1	1	1	0	1	0	0	0	0	0.533333	0.533333	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.409722	16	16	16	0	16	0	0	0	0	6.55556	6.55556	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.4	5	5	5	0	5	0	0	0	0	2	2	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	2	2	2	0	2	0	0	0	0	0.4	0.4	0	
7	0	7	0	10	0.911111	0.0773448	0.911111	0	0.396825	14	14	14	0	14	0	0	0	0	5.55556	5.55556	0	
3	0	3	0	10	0.377778	0.181279	0.377778	0	0.277778	2	2	2	0	2	0	0	0	0	0.555556	0.555556	0	
5	0	5	0	10	0.755556	0.129546	0.755556	0	0.238889	4	4	4	0	4	0	0	0	0	0.955556	0.955556	0	
8	0	8	0	10	0.933333	0.0772873	0.933333	0	0.342593	12	12	12	0	12	0	0	0	0	4.11111	4.11111	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.340741	6	6	6	0	6	0	0	0	0	2.04444	2.04444	0	
6	0	6	0	10	0.844444	0.102935	0.844444	0	0.351515	11	11	11	0	11	0	0	0	0	3.86667	3.86667	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.406667	10	10	10	0	10	0	0	0	0	4.06667	4.06667	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.372222	4	4	4	0	4	0	0	0	0	1.48889	1.48889	0	
5	0	5	0	10	0.822222	0.0969307	0.822222	0	0.444444	7	7	7	0	7	0	0	0	0	3.11111	3.11111	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.373333	5	5	5	0	5	0	0	0	0	1.86667	1.86667	0	
2	0	2	0	10	0.355556	0.159109	0.355556	0	0.355556	1	1	1	0	1	0	0	0	0	0.355556	0.355556	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.262222	5	5	5	0	5	0	0	0	0	1.31111	1.31111	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.381481	6	6	6	0	6	0	0	0	0	2.28889	2.28889	0	
4	0	4	0	10	0.644444	0.151819	0.644444	0	0.395556	5	5	5	0	5	0	0	0	0	1.97778	1.97778	0	
1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.437037	6	6	6	0	6	0	0	0	0	2.62222	2.62222	0	
2	0	2	0	10	0.533333	0.0946573	0.533333	0	0.533333	9	9	9	0	9	0	0	0	0	4.8	4.8	0	
4	0	4	0	10	0.733333	0.119889	0.733333	0	0.303704	3	3	3	0	3	0	0	0	0	0.911111	0.911111	0	
3	0	3	0	10	0.644444	0.101237	0.644444	0	0.377778	2	2	2	0	2	0	0	0	0	0.755556	0.755556	0	
5	0	5	0	10	0.844444	0.0795543	0.844444	0	0.305556	4	4	4	0	4	0	0	0	0	1.22222	1.22222	0	
5	0	5	0	10	0.866667	0.0713676	0.866667	0	0.324444	5	5	5	0	5	0	0	0	0	1.62222	1.62222	0	
4	0	4	0	10	0.711111	0.117454	0.711111	0	0.333333	5	5	5	0	5	0	0	0	0	1.66667	1.66667	0	
5	0	5	0	10	0.8	0.100133	0.8	0	0.276543	9	9	9	0	9	0	0	0	0	2.48889	2.48889	0	
5	0	5	0	10	0.666667	0.163299	0.666667	0	0.314286	7	7	7	0	7	0	0	0	0	2.2	2.2	0	
2	0	2	0	10	0.2	0.154143	0.2	0	0.2	1	1	1	0	1	0	0	0	0	0.2	0.2	0	
4	0	4	0	10	0.533333	0.180074	0.533333	0	0.2	4	4	4	0	4	0	0	0	0	0.8	0.8	0	
